Name,Rating,Title,Description,Date,Certified_Buyer,Helpful_Votes
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
krishna pawar,5,Great product,"I AM POSTING THIS REVIEW AFTER 15 DAYS OF USE HIGHLY RECOMMENDED Best In class with this price Don't think too much if you want premium build, ultimate performance,suberb 4zone rgb,good cooling then go for it. performance is insane. I like this laptop at this price which is 71k(with card discounts) at big billion day sale.I played gta 5 valorant forza horizon game was buttery smooth  If you do lots of multitasking  this laptop is capable for that  I am highly satisfied with overall pa...READ MORE",krishna pawar,Yes,43
Rajarshi  Chanda,5,Best Gaming Laptop at 75k!!!! BUT beware of EKART!,"This Laptop is one of the best budget-friendly gaming laptop that is currently available. The looks are just awesome and feel premium by touch (The RGB just kills it!!), the display is ok, could have been better but at this price, I am not complaining. In terms of performance, I will list some games and the avg FPS I was getting with their respective settings. Now, there are two things that I want to clear: a) No webcam. you don't get an external or inbuilt webcam with this laptop, This lapt...READ MORE",Rajarshi  Chanda,Yes,653
ashish  kumar,5,Terrific purchase,"Mind blowing  purchase, worth every pennyREAD MORE",ashish  kumar,Yes,63
Flipkart Customer,5,Classy product,"Great laptop for the price, i add 8gb ram (gekill ripjaws 3200mhz, density- RX8) and for those who were wondering what the density of the ram already present in the laptop is, its RX8 which is great . Once uprageded to 16 gb the laptop cab run almost all games at max settings at or above 60fps except some very demanding games like rdr2 and cyberpunk where u can get playable fps (45-50) with high +medium +ultra mix settings. I got 60 fps plus in max settings in forza horizon 4, witcher 3 and...READ MORE",Flipkart Customer,Yes,266
Sohan Peter,5,Brilliant,"Product was received in great condition. The build quality of the laptop is excellent. Feels really sturdy and it's got a real premium finish to it. Loving the eclipse gray color as well. Feels elegant yet powerful.Its got a 144Hz display. Ryzen 7 with RTX 3050 is a great combination.The track pad feels really good to the touch.The RGB too, is just beautiful. ❤Only con is that the laptop lacks a webcam. But other than that, everything else is perfect.READ MORE",Sohan Peter,Yes,133
saurabh chaudhary,5,Just wow!,Nice design awesome performance 😍READ MORE,saurabh chaudhary,Yes,20
Pragyanshu Sharma,5,Terrific purchase,Awesome laptopREAD MORE,Pragyanshu Sharma,Yes,17
Shaik kalam Ahmed,4,Really Nice,"Best laptop in this price range..! 🔥BUT PLEASE CHECK LAPTOP CAREFULLY WHILE YOU DELIVERED, I HAVE GOT AN FAN ISSUE WITH MY LAPTOP AND I REPLACED IT,VERY GOOD RESPONSE BY FLIPKART ❤️Performance : 10/10Display : 8/10Battery : 7/10Thermals : 9/10Value for money : 10/10 Ryzen 7 4800h is very powerful 🔥Rtx 3050 gives good performance with 95w TGPDisplay is good 144HZ Thermals doesn't reach above 90°,85 to 90 averageBattery is average,but its not a big issueREAD MORE",Shaik kalam Ahmed,Yes,79
S K Prasanth,5,Great product,Awesome Laptop At this price Can't say any cons about this productREAD MORE,S K Prasanth,Yes,16
Namith,5,Worth every penny,Real beast in this price range 🔥READ MORE,Namith,Yes,24
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
Vipin Kundnani,5,Mind-blowing purchase,"This Laptop ASUS ROG Strix G15, I bought for my son who is learning Coding and gaming and he's so satisfied from my this gift to him. He admires that ASUS delivered whatever it committed at the time of purchase. He uses the laptop for 4-5 hrs continuously but it doesn't warms at all. The machine responds so well and fast while playing heavy games. Battery backup is also good, build quality is so fine, and the cosmetic looks like the Logo, the RGB lights, etc increases the confidence when use ...READ MORE",Vipin Kundnani,Yes,20
Saichand Avanaganti,4,Value-for-money,Just now received initial impression laptoplooks really cool and sturdy. Will post complete review in 15 daysREAD MORE,Saichand Avanaganti,Yes,168
Akshay Gulawane,5,Best all purpose laptop with style :-),"Bought this product for 93500 only in Aug 2020.LEDs are great which can be configured by their AURA appLaptop configuration is high-end, specially at this price.There are so many variations that you can get with Asus ROG but are not yet available to buy. Electro punk color have extra pink color strip around the screen and touch pad.Model number for this laptop is G512LI (you can check detail spec on asus website)Laptop is little heavy & tough. Good built quality. Battery life is decen...READ MORE",Akshay Gulawane,Yes,25
Abhishek Bohare,5,Best in the market!,Beast !! Awesome MACHINE by ASUSSUPERFAST POWERFULL STRONGREAD MORE,Abhishek Bohare,Yes,31
Aditya Kolekar,5,Brilliant,Got today looking fabulous. I will post complete review after 7 days of use.READ MORE,Aditya Kolekar,Yes,9
Tarang Parikh,5,Must buy!,"I love everything about the laptop the looks, performance, build quality, etc. Worth the price U should consider this if u have a budget of around 1LREAD MORE",Tarang Parikh,Yes,7
aditya thombare,4,Nice product,"1st Things 1st Product Is Genuine.I have never done big purchase from Flipkart like this so I was little bit afraid in the starting but after delivery I am Happy customer.The laptop's Performance is GOOD in normal use but I didn't use for gaming/ heavy work till now so didn't tell you about heavy use but I'm expecting would be Good. Display is Amazing. And battery life in normal use you can expect 5-6 hours in max cases.Over all performance ( normal use), display and battery life all are G...READ MORE",aditya thombare,Yes,7
flipkart costomer,5,OMG product (i love it ),"amazing product. It is value for money. The keyboard is super nice. This machine makes you feel like you are working on a spaceship. The body is super nice. You guys may be thinking that the this machine is not worth it but trust me you guys will fall in love with it, especially its texture,.READ MORE",flipkart costomer,Yes,4
Zeeshan  Suhail,5,Wonderful,My dream comes true and I started new gaming channel name is gpytgaming this enough for meREAD MORE,Zeeshan  Suhail,Yes,3
Keval Gajera,5,Classy product,This is the beastREAD MORE,Keval Gajera,Yes,2
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
ashutosh narayan,5,Mind-blowing purchase,My first laptop and a gaming laptop too...Excellent design..i was just mesmerised at the first sight of it.🔥Not too heavy...plastic body compensates for the heavy machinery.Cooling system is nice. does not let the lappy go above 90 celsius while gaming or during heavy usage.Display is awesome..144hz refresh rate at this prize is a bonus.Sound quality is average.. not too good not too badThe RGB is love❤️...drains battery but is a cherry on the cake.Battery backup depends upon ur type ...READ MORE,ashutosh narayan,Yes,86
Junmoni Sonowal,5,Great product,The Asus ROG Strix G15 offers just enough performance to justify its 144Hz refresh rate.1. Solid gaming performance2. RGB lighting is distinctive3. High refresh rate4. Good thermalsIn other wordsITS A BEAST LAPTOPREAD MORE,Junmoni Sonowal,Yes,128
Adarsh  M C,5,Excellent,"Performance : Amazing and it is very fast because of SDD. But I did feel that 512GB storage is not sufficient when you consider that you have to maintain some free space in C drive without utilising it to maintain fast responsiveness from the laptop.Memory : 8GB is really good and is going to be enough if you are casual gamer. However, if you love to play many games and work at the same time by keeping tabs or applications open the you might have to consider buying additional 8GB RAM. One m...READ MORE",Adarsh  M C,Yes,670
Rishikesh Jagtap,5,Excellent,Most beautiful laptop ever.Nice battery Nice performance Nice speedREAD MORE,Rishikesh Jagtap,Yes,56
Arko Raha,5,Awesome,Supper ❤❤READ MORE,Arko Raha,Yes,22
Aditya Raj,5,Excellent,Beast laptop under budget and too smooth ❣️💝READ MORE,Aditya Raj,Yes,109
Gaurav Kaushik,5,Highly recommended,"I am very happy and totally satisfied with this laptop. Afterall it meets all of my expectations. I would definitely recommend this laptop under 80K range.Don't blindly compare specs only, what matters most is real ground performance. Hope you will make a good decision.READ MORE",Gaurav Kaushik,Yes,419
Girija Shankar,5,Perfect product!,Vlaue for moneyREAD MORE,Girija Shankar,Yes,14
Gouranga Ghosh,5,Simply awesome,"Amazing display though minor screen bleeding issues, mostly non noticeable. Amazing buttersmooth performace, battery is little less, but you can't expect much from a gaming laptop.  Note: it feels a little heavy after 30 mins on your lap. And Don't think much go for it,READ MORE",Gouranga Ghosh,Yes,46
Saurav Ghosh,5,Simply awesome,"Nice performance only when it is plugged in to power supply. In battery mode game lags and stutters but it happens in every other gaming laptop.In this price range display quality is best(144hz) and style and built is very good. Stylish looks due to the LEDs around it.Battery backup isnt good.Every AAA titles can give 50-60 fps at max settings and ofc smooth gameplay. This is my first gaming and Asus laptop, quite impressive it is. COOLING (Thermals) are nicely managed using it for 2 day...READ MORE",Saurav Ghosh,Yes,72
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
NGX Customer,3,Fair,"The performance ,design and RGB looks cool.. The one and only problem i faced was sometimes when you clicked the power button the laptop doesn't wake up😑 some times I need to tap many times tf😶READ MORE",NGX Customer,Yes,29
Sahanaj Ullaha,5,Awesome,Very Good👍 product..READ MORE,Sahanaj Ullaha,Yes,25
Omkar Jadhav,5,Terrific purchase,Value for money!READ MORE,Omkar Jadhav,Yes,15
Apoorv Patidar,5,Classy product,Used 1 week good so farREAD MORE,Apoorv Patidar,Yes,11
Revanth Reddy,3,Does the job,Display isn't good at all kinda average and battery backup without gaming is 6 hrs and quite good Even In gaming sessions it's quite capable and heat deception quite good overall it's a great laptop and doesn't comes with numpadREAD MORE,Revanth Reddy,Yes,3
N/A,N/A,N/A,N/A,N/A,No,0
