Name,Rating,Title,Description,Date,Certified_Buyer,Helpful_Votes
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
Akhil S Kottaram,5,Awesome,"Excellent product and awesome features , zoom is beyond comparisonExcellent display and good battery life. S pen is a master in it's own league.While sticking screen guards Kindly make sure glue doesn't leak to the speaker or S pen  modules as it may create an issue Inorder to avail the offerPlease go toAccountCouponsAll rewards and scroll downYou will get the offer mentioned and you can order the same if you are eligibleHappy purchasingREAD MORE",Akhil S Kottaram,Yes,13075
Flipkart Customer,5,Worth every penny,"I ordered the product during pre-book period, exchanging my old OP6.The product is great, the seller delivered in time. The exchange process with Flipkart was also great. After the return period I got my Galaxy buds 2 and Watch 4 classic as well.The camera quality is excellent, the battery life is great as well. I am getting around 10 hours SOT, and 24 hours total time in a full recharge.OneUI is one of the best Android experience you can get.Overall a great deal.READ MORE",Flipkart Customer,Yes,7390
Sunil Verma,5,Brilliant,Great camera and best design.READ MORE,Sunil Verma,Yes,554
Aryan Azad,5,Brilliant,One of the best camera phone 🤳 📱#samsung galaxy s23 ultra 💯 🤞READ MORE,Aryan Azad,Yes,1065
Shammi Kapoor,5,Fabulous!,"Wonderful , looks wise and specially feel like we have Mercedes car. Feels and touch never be explain it's feels. I hope you all understand what I mean ? in short wow 👌 wonderfulREAD MORE",Shammi Kapoor,Yes,1044
Sandeep Karora,5,Great product,Product is fantastic but please guide the buyers how to claim the watch and buds offerREAD MORE,Sandeep Karora,Yes,98
Rejeesh N V,5,Highly recommended,Fantastic mobile in all means. This is the best Android in market without doubt and I feel this is far better than latest iPhone in terms of quality and features.Noted my observations after 2 weeks of usagePros1) Fantastic camera with super zoom feature which can zoom and take snaps of high quality pics located far distance. Camera performance is outstanding in low light and you can capture high quality Raw pics also2) Display (2k plus) and sound quality is superb . You cannot this much q...READ MORE,Rejeesh N V,Yes,1125
Ananya Anubhav Saikia,5,Best in the market!,The best of the best. S23 Ultra is the best phone in the world right now.READ MORE,Ananya Anubhav Saikia,Yes,1666
Flipkart Customer,5,Brilliant,"I am thankful to almighty god to let me buy my first flagship dream device. This works like the smoothest butter I have ever seen. You throw anything on it, and it makes it work like a charm.READ MORE",Flipkart Customer,Yes,904
Jugnoo Kumar,5,Wonderful,Everything is good in the phone except some heating issues which also affects battery backupREAD MORE,Jugnoo Kumar,Yes,389
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
Akhil S Kottaram,5,Awesome,"Excellent product and awesome features , zoom is beyond comparisonExcellent display and good battery life. S pen is a master in it's own league.While sticking screen guards Kindly make sure glue doesn't leak to the speaker or S pen  modules as it may create an issue Inorder to avail the offerPlease go toAccountCouponsAll rewards and scroll downYou will get the offer mentioned and you can order the same if you are eligibleHappy purchasingREAD MORE",Akhil S Kottaram,Yes,13075
Flipkart Customer,5,Worth every penny,"I ordered the product during pre-book period, exchanging my old OP6.The product is great, the seller delivered in time. The exchange process with Flipkart was also great. After the return period I got my Galaxy buds 2 and Watch 4 classic as well.The camera quality is excellent, the battery life is great as well. I am getting around 10 hours SOT, and 24 hours total time in a full recharge.OneUI is one of the best Android experience you can get.Overall a great deal.READ MORE",Flipkart Customer,Yes,7390
Sunil Verma,5,Brilliant,Great camera and best design.READ MORE,Sunil Verma,Yes,554
Aryan Azad,5,Brilliant,One of the best camera phone 🤳 📱#samsung galaxy s23 ultra 💯 🤞READ MORE,Aryan Azad,Yes,1065
Shammi Kapoor,5,Fabulous!,"Wonderful , looks wise and specially feel like we have Mercedes car. Feels and touch never be explain it's feels. I hope you all understand what I mean ? in short wow 👌 wonderfulREAD MORE",Shammi Kapoor,Yes,1044
Sandeep Karora,5,Great product,Product is fantastic but please guide the buyers how to claim the watch and buds offerREAD MORE,Sandeep Karora,Yes,98
Rejeesh N V,5,Highly recommended,Fantastic mobile in all means. This is the best Android in market without doubt and I feel this is far better than latest iPhone in terms of quality and features.Noted my observations after 2 weeks of usagePros1) Fantastic camera with super zoom feature which can zoom and take snaps of high quality pics located far distance. Camera performance is outstanding in low light and you can capture high quality Raw pics also2) Display (2k plus) and sound quality is superb . You cannot this much q...READ MORE,Rejeesh N V,Yes,1125
Ananya Anubhav Saikia,5,Best in the market!,The best of the best. S23 Ultra is the best phone in the world right now.READ MORE,Ananya Anubhav Saikia,Yes,1666
Flipkart Customer,5,Brilliant,"I am thankful to almighty god to let me buy my first flagship dream device. This works like the smoothest butter I have ever seen. You throw anything on it, and it makes it work like a charm.READ MORE",Flipkart Customer,Yes,904
Jugnoo Kumar,5,Wonderful,Everything is good in the phone except some heating issues which also affects battery backupREAD MORE,Jugnoo Kumar,Yes,389
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
Akhil S Kottaram,5,Awesome,"Excellent product and awesome features , zoom is beyond comparisonExcellent display and good battery life. S pen is a master in it's own league.While sticking screen guards Kindly make sure glue doesn't leak to the speaker or S pen  modules as it may create an issue Inorder to avail the offerPlease go toAccountCouponsAll rewards and scroll downYou will get the offer mentioned and you can order the same if you are eligibleHappy purchasingREAD MORE",Akhil S Kottaram,Yes,13075
Flipkart Customer,5,Worth every penny,"I ordered the product during pre-book period, exchanging my old OP6.The product is great, the seller delivered in time. The exchange process with Flipkart was also great. After the return period I got my Galaxy buds 2 and Watch 4 classic as well.The camera quality is excellent, the battery life is great as well. I am getting around 10 hours SOT, and 24 hours total time in a full recharge.OneUI is one of the best Android experience you can get.Overall a great deal.READ MORE",Flipkart Customer,Yes,7390
Sunil Verma,5,Brilliant,Great camera and best design.READ MORE,Sunil Verma,Yes,554
Aryan Azad,5,Brilliant,One of the best camera phone 🤳 📱#samsung galaxy s23 ultra 💯 🤞READ MORE,Aryan Azad,Yes,1065
Shammi Kapoor,5,Fabulous!,"Wonderful , looks wise and specially feel like we have Mercedes car. Feels and touch never be explain it's feels. I hope you all understand what I mean ? in short wow 👌 wonderfulREAD MORE",Shammi Kapoor,Yes,1044
Sandeep Karora,5,Great product,Product is fantastic but please guide the buyers how to claim the watch and buds offerREAD MORE,Sandeep Karora,Yes,98
Rejeesh N V,5,Highly recommended,Fantastic mobile in all means. This is the best Android in market without doubt and I feel this is far better than latest iPhone in terms of quality and features.Noted my observations after 2 weeks of usagePros1) Fantastic camera with super zoom feature which can zoom and take snaps of high quality pics located far distance. Camera performance is outstanding in low light and you can capture high quality Raw pics also2) Display (2k plus) and sound quality is superb . You cannot this much q...READ MORE,Rejeesh N V,Yes,1125
Ananya Anubhav Saikia,5,Best in the market!,The best of the best. S23 Ultra is the best phone in the world right now.READ MORE,Ananya Anubhav Saikia,Yes,1666
Flipkart Customer,5,Brilliant,"I am thankful to almighty god to let me buy my first flagship dream device. This works like the smoothest butter I have ever seen. You throw anything on it, and it makes it work like a charm.READ MORE",Flipkart Customer,Yes,904
Jugnoo Kumar,5,Wonderful,Everything is good in the phone except some heating issues which also affects battery backupREAD MORE,Jugnoo Kumar,Yes,389
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
Akhil S Kottaram,5,Awesome,"Excellent product and awesome features , zoom is beyond comparisonExcellent display and good battery life. S pen is a master in it's own league.While sticking screen guards Kindly make sure glue doesn't leak to the speaker or S pen  modules as it may create an issue Inorder to avail the offerPlease go toAccountCouponsAll rewards and scroll downYou will get the offer mentioned and you can order the same if you are eligibleHappy purchasingREAD MORE",Akhil S Kottaram,Yes,13075
Flipkart Customer,5,Worth every penny,"I ordered the product during pre-book period, exchanging my old OP6.The product is great, the seller delivered in time. The exchange process with Flipkart was also great. After the return period I got my Galaxy buds 2 and Watch 4 classic as well.The camera quality is excellent, the battery life is great as well. I am getting around 10 hours SOT, and 24 hours total time in a full recharge.OneUI is one of the best Android experience you can get.Overall a great deal.READ MORE",Flipkart Customer,Yes,7390
Sunil Verma,5,Brilliant,Great camera and best design.READ MORE,Sunil Verma,Yes,554
Aryan Azad,5,Brilliant,One of the best camera phone 🤳 📱#samsung galaxy s23 ultra 💯 🤞READ MORE,Aryan Azad,Yes,1065
Shammi Kapoor,5,Fabulous!,"Wonderful , looks wise and specially feel like we have Mercedes car. Feels and touch never be explain it's feels. I hope you all understand what I mean ? in short wow 👌 wonderfulREAD MORE",Shammi Kapoor,Yes,1044
Sandeep Karora,5,Great product,Product is fantastic but please guide the buyers how to claim the watch and buds offerREAD MORE,Sandeep Karora,Yes,98
Rejeesh N V,5,Highly recommended,Fantastic mobile in all means. This is the best Android in market without doubt and I feel this is far better than latest iPhone in terms of quality and features.Noted my observations after 2 weeks of usagePros1) Fantastic camera with super zoom feature which can zoom and take snaps of high quality pics located far distance. Camera performance is outstanding in low light and you can capture high quality Raw pics also2) Display (2k plus) and sound quality is superb . You cannot this much q...READ MORE,Rejeesh N V,Yes,1125
Ananya Anubhav Saikia,5,Best in the market!,The best of the best. S23 Ultra is the best phone in the world right now.READ MORE,Ananya Anubhav Saikia,Yes,1666
Flipkart Customer,5,Brilliant,"I am thankful to almighty god to let me buy my first flagship dream device. This works like the smoothest butter I have ever seen. You throw anything on it, and it makes it work like a charm.READ MORE",Flipkart Customer,Yes,904
Jugnoo Kumar,5,Wonderful,Everything is good in the phone except some heating issues which also affects battery backupREAD MORE,Jugnoo Kumar,Yes,389
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
N/A,N/A,N/A,N/A,N/A,No,0
Akhil S Kottaram,5,Awesome,"Excellent product and awesome features , zoom is beyond comparisonExcellent display and good battery life. S pen is a master in it's own league.While sticking screen guards Kindly make sure glue doesn't leak to the speaker or S pen  modules as it may create an issue Inorder to avail the offerPlease go toAccountCouponsAll rewards and scroll downYou will get the offer mentioned and you can order the same if you are eligibleHappy purchasingREAD MORE",Akhil S Kottaram,Yes,13075
Flipkart Customer,5,Worth every penny,"I ordered the product during pre-book period, exchanging my old OP6.The product is great, the seller delivered in time. The exchange process with Flipkart was also great. After the return period I got my Galaxy buds 2 and Watch 4 classic as well.The camera quality is excellent, the battery life is great as well. I am getting around 10 hours SOT, and 24 hours total time in a full recharge.OneUI is one of the best Android experience you can get.Overall a great deal.READ MORE",Flipkart Customer,Yes,7390
Sunil Verma,5,Brilliant,Great camera and best design.READ MORE,Sunil Verma,Yes,554
Aryan Azad,5,Brilliant,One of the best camera phone 🤳 📱#samsung galaxy s23 ultra 💯 🤞READ MORE,Aryan Azad,Yes,1065
